Ref,Val,Package,PosX,PosY,Rot,Side
"D64","LED_Small","LED_1206_3216Metric",179.702000,-65.299771,0.000000,top
"D65","LED_Small","LED_1206_3216Metric",92.453000,-69.879028,0.000000,top
"D66","LED_Small","LED_1206_3216Metric",98.269600,-69.879028,0.000000,top
"D67","LED_Small","LED_1206_3216Metric",104.086200,-69.879028,0.000000,top
"D68","LED_Small","LED_1206_3216Metric",109.902800,-69.879028,0.000000,top
"D69","LED_Small","LED_1206_3216Metric",115.719400,-69.879028,0.000000,top
"D70","LED_Small","LED_1206_3216Metric",121.536000,-69.879028,0.000000,top
"D71","LED_Small","LED_1206_3216Metric",127.352600,-69.879028,0.000000,top
"D72","LED_Small","LED_1206_3216Metric",133.169200,-69.879028,0.000000,top
"D73","LED_Small","LED_1206_3216Metric",138.985800,-69.879028,0.000000,top
"D74","LED_Small","LED_1206_3216Metric",144.802400,-69.879028,0.000000,top
"D75","LED_Small","LED_1206_3216Metric",150.619000,-69.879028,0.000000,top
"D76","LED_Small","LED_1206_3216Metric",156.435600,-69.879028,0.000000,top
"D77","LED_Small","LED_1206_3216Metric",162.252200,-69.879028,0.000000,top
"D78","LED_Small","LED_1206_3216Metric",168.068800,-69.879028,0.000000,top
"D79","LED_Small","LED_1206_3216Metric",173.885400,-69.879028,0.000000,top
"D80","LED_Small","LED_1206_3216Metric",179.702000,-69.879028,0.000000,top
"D81","LED_Small","LED_1206_3216Metric",92.453000,-74.458285,0.000000,top
"D82","LED_Small","LED_1206_3216Metric",98.269600,-74.458285,0.000000,top
"D83","LED_Small","LED_1206_3216Metric",104.086200,-74.458285,0.000000,top
"D84","LED_Small","LED_1206_3216Metric",109.902800,-74.458285,0.000000,top
"D85","LED_Small","LED_1206_3216Metric",115.719400,-74.458285,0.000000,top
"D86","LED_Small","LED_1206_3216Metric",121.536000,-74.458285,0.000000,top
"D87","LED_Small","LED_1206_3216Metric",127.352600,-74.458285,0.000000,top
"D88","LED_Small","LED_1206_3216Metric",133.169200,-74.458285,0.000000,top
"D89","LED_Small","LED_1206_3216Metric",138.985800,-74.458285,0.000000,top
"D90","LED_Small","LED_1206_3216Metric",144.802400,-74.458285,0.000000,top
"D91","LED_Small","LED_1206_3216Metric",150.619000,-74.458285,0.000000,top
"D92","LED_Small","LED_1206_3216Metric",156.435600,-74.458285,0.000000,top
"D93","LED_Small","LED_1206_3216Metric",162.252200,-74.458285,0.000000,top
"D94","LED_Small","LED_1206_3216Metric",168.068800,-74.458285,0.000000,top
"D95","LED_Small","LED_1206_3216Metric",173.885400,-74.458285,0.000000,top
"D96","LED_Small","LED_1206_3216Metric",179.702000,-74.458285,0.000000,top
"D97","LED_Small","LED_1206_3216Metric",92.453000,-79.037542,0.000000,top
"D98","LED_Small","LED_1206_3216Metric",98.269600,-79.037542,0.000000,top
"D99","LED_Small","LED_1206_3216Metric",104.086200,-79.037542,0.000000,top
"D100","LED_Small","LED_1206_3216Metric",109.902800,-79.037542,0.000000,top
"D101","LED_Small","LED_1206_3216Metric",115.719400,-79.037542,0.000000,top
"D102","LED_Small","LED_1206_3216Metric",121.536000,-79.037542,0.000000,top
"D103","LED_Small","LED_1206_3216Metric",127.352600,-79.037542,0.000000,top
